Ligands,Receptors,source_combined
AT1G80170,AT4G26320,STRING
AT2G01270,AT1G24140,STRING
AT2G01270,AT1G59970,STRING
AT2G01270,AT1G70170,STRING
AT2G01270,AT2G45040,STRING
AT2G01270,AT4G16640,STRING
AT2G01505,AT1G65380,literature
AT2G01505,AT5G13290,literature
AT2G01880,AT5G67130,IntAct
AT2G01890,AT4G23640,"IntAct,BIOGRID"
AT2G02100,AT3G11660,STRING
AT2G03670,AT4G34460,BIOGRID
AT2G04025,AT3G24240,literature
AT2G04025,AT4G26540,"STRING,literature"
AT2G04025,AT5G48940,literature
AT2G05380,AT1G21250,IntAct
AT2G05520,AT1G21230,"IntAct,BIOGRID"
AT2G05520,AT1G21240,"IntAct,BIOGRID"
AT2G05520,AT1G21250,"STRING,IntAct,BIOGRID,interactome2.0"
AT2G06850,AT2G26300,BIOGRID
AT2G06850,AT2G47160,interactome2.0
AT2G06850,AT4G12730,STRING
AT2G06850,AT5G44130,STRING
AT2G06925,AT3G15730,STRING
AT2G06925,AT3G17980,STRING
AT2G06925,AT3G53420,STRING
AT2G06925,AT4G35790,STRING
AT2G06925,AT5G58670,STRING
AT2G13542,AT4G05110,STRING
AT2G13542,AT4G05120,STRING
AT2G13542,AT4G05130,STRING
AT2G13542,AT4G05140,STRING
AT2G13820,AT1G68725,STRING
AT2G13820,AT3G01700,STRING
AT2G13820,AT4G37450,STRING
AT2G14610,AT2G19190,STRING
AT2G14610,AT5G15410,STRING
AT2G14620,AT1G04750,interactome2.0
AT2G15230,AT1G04750,interactome2.0
AT2G15230,AT4G35020,STRING
AT2G17230,AT1G47670,STRING
AT2G18660,AT2G32680,STRING
AT2G18660,AT4G11890,STRING
AT2G19050,AT2G36590,STRING
AT2G19500,AT1G27320,STRING
AT2G19690,AT2G07040,STRING
AT2G20750,AT1G16150,STRING
AT2G20875,AT1G63700,STRING
AT2G20875,AT1G80080,STRING
AT2G20875,AT2G26330,"STRING,BIOGRID,literature"
AT2G20875,AT4G17870,STRING
AT2G20875,AT5G07180,"STRING,literature"
AT2G20875,AT5G60880,STRING
AT2G20875,AT5G62230,"STRING,BIOGRID,literature"
AT2G21100,AT2G35980,STRING
AT2G21110,AT2G21120,STRING
AT2G22860,AT2G02220,STRING
AT2G22860,AT5G53890,STRING
AT2G23000,AT3G06035,STRING
AT2G23000,AT5G19250,STRING
AT2G23440,AT5G49660,literature
AT2G23445,AT1G72180,literature
AT2G23445,AT5G49660,literature
AT2G25110,AT2G31880,STRING
AT2G25110,AT5G20480,STRING
AT2G25110,AT5G48380,STRING
AT2G26010,AT4G35580,"IntAct,BIOGRID"
AT2G26440,AT2G40540,STRING
AT2G26870,AT1G79670,STRING
AT2G26870,AT3G15730,STRING
AT2G26870,AT4G35790,STRING
AT2G26870,AT5G09350,STRING
AT2G26870,AT5G53890,STRING
AT2G26870,AT5G58670,STRING
AT2G26870,AT5G64070,STRING
AT2G27250,AT1G65380,"STRING,literature"
AT2G27250,AT1G75820,"STRING,BIOGRID,interactome2.0,literature"
AT2G27250,AT3G49670,"STRING,BIOGRID,literature"
AT2G27250,AT3G59420,STRING
AT2G27250,AT4G20270,STRING
AT2G27250,AT4G28490,STRING
AT2G27250,AT5G13290,"STRING,literature"
AT2G27250,AT5G65700,"STRING,BIOGRID,literature"
AT2G27380,AT2G29940,STRING
AT2G28100,AT2G01950,"IntAct,BIOGRID"
AT2G28470,AT2G45470,STRING
AT2G28950,AT1G47830,plant.MAP
AT2G29960,AT1G13980,"STRING,IntAct,BIOGRID,interactome2.0"
AT2G30210,AT2G44790,STRING
AT2G30370,AT1G80080,STRING
AT2G30370,AT2G26330,literature
AT2G30370,AT2G37170,BIOGRID
AT2G30370,AT5G07180,STRING
AT2G30370,AT5G60880,STRING
AT2G30370,AT5G62230,STRING
AT2G31083,AT5G65700,literature
AT2G31550,AT4G08670,STRING
AT2G31980,AT1G53910,STRING
AT2G33775,AT2G21480,literature
AT2G33775,AT4G39110,literature
AT2G33790,AT1G68725,STRING
AT2G33790,AT2G04780,STRING
AT2G33790,AT2G23130,STRING
AT2G33790,AT2G47930,STRING
AT2G33790,AT3G01700,STRING
AT2G33790,AT3G46550,STRING
AT2G33790,AT4G37450,STRING
AT2G33790,AT5G18690,STRING
AT2G33790,AT5G53250,STRING
AT2G33790,AT5G64080,STRING
AT2G34925,AT1G75820,STRING
AT2G34925,AT3G49670,literature
AT2G34925,AT4G28650,STRING
AT2G34925,AT5G65700,literature
AT2G35612,AT1G72180,literature
AT2G35612,AT5G49660,literature
AT2G35860,AT2G04780,STRING
AT2G36190,AT1G11820,STRING
AT2G36190,AT1G66250,STRING
AT2G36190,AT2G01630,STRING
AT2G36190,AT2G39060,STRING
AT2G36190,AT3G13560,STRING
AT2G36190,AT4G31140,STRING
AT2G36190,AT5G58090,STRING
AT2G38080,AT5G03170,STRING
AT2G38080,AT5G15630,STRING
AT2G38380,AT2G45960,BIOGRID
AT2G38380,AT3G53420,BIOGRID
AT2G38540,AT3G43720,STRING
AT2G38540,AT5G37780,"STRING,BIOGRID"
AT2G40250,AT3G18830,STRING
AT2G40250,AT5G62850,STRING
AT2G40370,AT2G48130,STRING
AT2G40370,AT3G22600,STRING
AT2G40370,AT4G14815,STRING
AT2G40530,AT1G72180,literature
AT2G40530,AT5G49660,literature
AT2G40610,AT4G38850,STRING
AT2G41850,AT4G28490,STRING
AT2G44450,AT1G11050,STRING
AT2G44450,AT1G11820,STRING
AT2G44450,AT1G66250,STRING
AT2G44450,AT2G01630,STRING
AT2G44450,AT3G13560,STRING
AT2G44450,AT4G31140,STRING
AT2G44450,AT5G58090,STRING
AT2G45220,AT3G54920,STRING
AT2G45220,AT5G08080,"IntAct,BIOGRID"
AT2G46930,AT2G20840,STRING
AT2G47030,AT3G54920,STRING
AT2G47550,AT3G54920,STRING
AT2G47550,AT4G26320,STRING
AT2G47550,AT5G53250,STRING
AT3G01190,AT5G49270,STRING
AT3G01610,AT3G09840,"STRING,IntAct,interactome2.0"
AT3G01610,AT3G26090,BIOGRID
AT3G02885,AT3G02880,STRING
AT3G05620,AT2G40540,STRING
AT3G05620,AT3G54920,STRING
AT3G05910,AT2G14890,STRING
AT3G05910,AT4G12730,STRING
AT3G10150,AT4G08850,STRING
AT3G10380,AT1G17140,STRING
AT3G10380,AT2G45960,BIOGRID
AT3G10380,AT3G24300,BIOGRID
AT3G10380,AT3G53420,BIOGRID
AT3G10720,AT3G54920,STRING
AT3G11700,AT1G03870,STRING
AT3G11700,AT2G24450,STRING
AT3G11700,AT3G60900,STRING
AT3G11700,AT4G12730,STRING
AT3G11700,AT4G31370,STRING
AT3G12490,AT5G26340,interactome2.0
AT3G13662,AT1G19780,STRING
AT3G13750,AT1G11260,STRING
AT3G13750,AT2G01950,"IntAct,BIOGRID"
